epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,524.442,0.77512,0.45096,1.01986,0.96924,0.98387,0.9926,0.56823,1.60887,0.55845,1.45699,0.000297226,0.000297226,0.000297226
85,530.6,0.76901,0.44634,0.99751,0.96994,0.98387,0.9925,0.57919,1.5869,0.54908,1.48804,0.000280723,0.000280723,0.000280723
86,536.804,0.81358,0.46847,1.02841,0.96975,0.98387,0.99164,0.56037,1.62716,0.56768,1.47806,0.00026422,0.00026422,0.00026422
87,542.979,0.7658,0.44501,1.00002,0.97342,0.97387,0.98795,0.55744,1.62819,0.55101,1.461,0.000247716,0.000247716,0.000247716
88,549.18,0.77381,0.42944,1.01967,0.97163,0.98387,0.98873,0.58218,1.5954,0.53503,1.43957,0.000231213,0.000231213,0.000231213
89,555.395,0.80128,0.43211,1.01789,0.96921,0.98387,0.98372,0.57555,1.58606,0.52718,1.42551,0.00021471,0.00021471,0.00021471
90,561.546,0.78271,0.45307,1.02638,0.96758,0.98387,0.98352,0.5594,1.60706,0.54033,1.44747,0.000198206,0.000198206,0.000198206
91,568.284,0.72664,0.3762,1.0019,0.97975,0.98201,0.98572,0.54237,1.67355,0.55908,1.48866,0.000181703,0.000181703,0.000181703
92,574.462,0.67783,0.36609,0.98341,0.96925,0.98387,0.9855,0.55061,1.63283,0.55959,1.44783,0.0001652,0.0001652,0.0001652
93,580.603,0.66886,0.36848,0.98435,0.96943,0.98387,0.98224,0.57069,1.58272,0.53896,1.42768,0.000148696,0.000148696,0.000148696
94,586.742,0.67143,0.36798,0.98036,0.96916,0.98387,0.98224,0.55828,1.60805,0.5469,1.43476,0.000132193,0.000132193,0.000132193
95,592.894,0.67776,0.3807,0.96613,0.96941,0.98387,0.98313,0.56161,1.62701,0.54516,1.44484,0.00011569,0.00011569,0.00011569
96,599.032,0.67653,0.36093,0.97939,0.96949,0.98387,0.98409,0.55418,1.63023,0.54534,1.46464,9.91865e-05,9.91865e-05,9.91865e-05
97,605.177,0.68382,0.3548,0.97097,0.96884,0.98387,0.98405,0.5565,1.61963,0.53344,1.45614,8.26832e-05,8.26832e-05,8.26832e-05
98,611.306,0.64389,0.34574,0.96851,0.96955,0.98387,0.98364,0.54458,1.65543,0.5426,1.46866,6.61799e-05,6.61799e-05,6.61799e-05
99,617.565,0.67486,0.34534,0.97234,0.96961,0.98387,0.98182,0.55027,1.65811,0.54664,1.46979,4.96766e-05,4.96766e-05,4.96766e-05
100,623.708,0.63026,0.33977,0.97248,0.96944,0.98387,0.98094,0.55441,1.63016,0.53973,1.45724,3.31733e-05,3.31733e-05,3.31733e-05
